District,Total Population at year-end(10000 persons),Land Area(10000 sq.km),Land Area(Completed Construction Area)(sq.km),Gross Domestic Product(100 million yuan)
Zhongshan District,47.6,0.0467,39,343.66
Zunyi City,787,3.0762,,"1,874.36"
Districts under Zhangzhou City,58.5,0.0401,62,565.87
Anshun City,290,0.9267,,520.06
Districts under Hulunbeir City,36.7,0.162,114,332.4
Yunnan province,"4,641.88",,977.04,"12,814.59"
Districts under Heyuan City,30.7,0.0362,34,276.64
Kunming City,550.5,2.1012,,"3,712.99"
Districts under Shanghai,"1,370.90",0.5155,998.75,"23,292.03"
Qujing City,646.5,2.8905,,"1,649.40"
Districts under Zhoushan City,70.9,0.1034,61,743.54
Yuxi City,216,1.5285,,"1,184.73"
Districts under Beihai City,63.7,0.0957,73,669.06
Baoshan City,258.8,1.9637,,500.98
Districts under Xiangtan City,87.7,0.0658,80,973.87
Zhaotong City,594.4,2.244,,670.34
Districts under Tibet province,20.8,1.6164,126.34,182.46
Lijiang City,121.2,2.1219,,261.84
Districts under Hangzhou City,525.1,0.4876,495,"7,977.37"
Simao City,253.8,4.5385,24.5,476.95
Districts under Fuzhou City,197.4,0.1786,254,"2,570.32"
Lincang City,237.8,2.362,,465.12
Districts under Quanzhou City,106.4,0.0855,214,"1,259.71"
Tibet province,322.58,,126.34,920.83
Districts under Wuhai City,55.4,0.1754,63,601.02
Shaanxi province,"3,940.59",,967.56,"17,689.94"
Districts under Wuhan City,514.9,0.1738,553,"8,104.12"
Xi'an City,815.3,1.0097,,"5,492.64"
Districts under Qingdao City,370.5,0.3293,491,"5,527.65"
Tongchuan City,84.1,0.3937,,325.36
Districts under Jiujiang City,66.2,0.0599,103,744.77
Baoji City,383.8,1.8117,,"1,642.90"
Districts under Hefei City,245.4,0.1127,403,"3,430.76"
Xianyang City,526.7,1.0189,,"2,077.34"
Districts under Tianjin,832.8,0.7399,738,"14,290.92"
Weinan City,561.4,1.3134,,"1,423.75"
Districts under Yantai City,183.7,0.2738,316,"2,560.75"
Yan'an City,234.3,3.7037,,"1,386.09"
Districts under Huizhou City,141.7,0.2697,244,"1,913.80"
Hanzhong City,384.1,2.7285,,991.05
Districts under Jiayuguan City,24.1,0.2935,68,243.06
Yulin City,373.8,4.3578,,"2,920.58"
Districts under Cangzhou City,54.4,0.0183,68,641.21
Ankang City,306.2,2.3536,,689.44
Districts under Changsha City,303.5,0.191,336,"4,918.28"
Shangluo City,251.7,1.9292,,576.27
Districts under Longyan City,50.5,0.2678,50,609.18
Gansu province,"2,734.33",,779.28,"6,836.82"
Districts under Liuzhou City,117.6,0.1017,180,"1,646.73"
Lanzhou City,374.7,1.3086,,"2,000.94"
Districts under Zhenjiang City,103.4,0.1088,134,"1,440.38"
Jiayuguan City,24.1,0.2935,,243.06
Districts under Changzhou City,233.9,0.1862,204,"3,744.81"
Jinchang City,47,0.8896,,256.1
Districts under Paijin City,64.3,0.0251,73,842.75
Baiyin City,177.9,2.1158,,447.64
Districts under Xiamen City,203.4,0.1573,301,"3,273.58"
Tianshui City,364.5,1.4277,,522.82
Districts under Sanming City,28.3,0.1151,36,337.99
Wuwei City,188.9,3.3238,,405.97
Districts under Wuxi City,245.7,0.1644,328,"4,217.47"
Zhangye City,129.7,4.1924,,361.78
Districts under Tongling City,44.9,0.0355,69,593.08
Pingliang City,233.7,1.117,,350.55
Districts under Foshan City,385.6,0.3798,158,"7,441.60"
Jiuquan City,111.2,19.3974,,610.55
Districts under Yuxi City,43.7,0.1004,29,617.45
Qingyang City,265.5,2.7119,,668.86
Districts under Hohhot City,127.8,0.2065,230,"2,159.18"
Dingxi City,301.4,1.9609,,290.16
Districts under Zhuhai City,110.2,0.1724,124,"1,867.21"
Longnan City,283.2,2.7839,,262.53
Districts under Zhongshan City,156.1,0.1784,107,"2,823.01"
Qinghai province,580.16,,165.84,"2,303.32"
Districts under Suzhou City,337.5,0.4653,447,"7,086.92"
Xining City,202.6,0.7649,113.73,"1,065.78"
Districts under Ningbo City,229.6,0.2462,309,"4,589.30"
Ningxia province,671.56,,441.31,"2,752.10"
Districts under Guangzhou City,695,0.3843,"1,035.00","16,706.87"
Yinchuan City,196,0.9025,,"1,388.62"
Districts under Baotou City,147,0.2965,190,"3,100.48"
Shizuishan City,76.5,0.531,,467.26
Districts under Yunfu City,31.6,0.0763,98,608.3
Wuzhong City,143.5,1.6757,,383.43
Districts under Daqing City,135.5,0.5107,245,"3,465.31"
Guyuan City,153.3,1.3047,,201.03
Districts under Dongying City,85.2,0.3445,115,"2,036.91"
Zhongwei City,122.2,1.7448,,297.57
Districts under Karamay City,39,0.7735,69,847.6
Xinjiang province,"2,322.55",,"1,118.40","9,273.46"
Districts under Dongguan City,191.4,0.246,922,"5,881.32"
Urumqi City,266.9,1.3788,,"2,461.47"
Districts under Shenzhen City,332.2,0.1997,890,"16,001.82"
Karamay City,39,0.7735,,847.67
Districts under Erdos City,27.4,0.253,113,930.53
